symbol,cvar_5pct,amihud_illiquidity,max_drawdown,last_updated
AXISBANK.NS,-0.057110160494227846,2.420190533201075e-08,-0.7781019686322186,2026-01-18
HDFCBANK.NS,-0.04126945644185771,2.4323498063000327e-09,-0.553564962931366,2026-01-18
HINDUNILVR.NS,-0.03839991713741431,7.871912203434735e-09,-0.662077193709896,2026-01-18
ICICIBANK.NS,-0.05199673886938492,1.5590138352091969e-09,-0.8167595700972774,2026-01-18
INFY.NS,-0.05222734851593529,1.7289382250358005e-09,-0.8304366865417595,2026-01-18
ITC.NS,-0.041776994017892276,9.34253777467638e-10,-0.5700729612256539,2026-01-18
LT.NS,-0.048199818614606635,5.321080898008083e-09,-0.750571369141916,2026-01-18
RELIANCE.NS,-0.047215686996885047,6.858753221302226e-10,-0.7758978900705155,2026-01-18
SBIN.NS,-0.04937378641480503,1.0952456633070784e-09,-0.6149834094975394,2026-01-18
TCS.NS,-0.043453483465535785,3.434066986690223e-08,-0.6635880269761268,2026-01-18
